2001~2008,2009~2016
50
seeds:jiawei han,wei fan,charu c. aggarwal,bhavani m. thuraisingham,jing gao,latifur khan,philip s. yu,mohammad m. masud,
clare r. voss,jian pei,ahmed el-kishky,xifeng yan,jiawei han,huan sun,xiang ren,yintao yu,dan roth,chao liu,yizhou sun,cindy xide lin,lu su,hanghang tong,wei fan,qi li,yaliang li,thomas s. huang,jimeng sun,fenglong ma,jie wang,chi wang,marina danilevsky,charu c. aggarwal,tahseen al-khateeb,qiaozhu mei,jialu liu,feng liang,haixun wang,bo zhao,bhavani m. thuraisingham,fangbo tao,houping xiao,feida zhu,dong xin,brandon norick,chengxiang zhai,hyungsul kim,jiayu zhou,jing gao,latifur khan,jieping ye,aidong zhang,david lo,philip s. yu,xiao yu,mohammad m. masud,chen chen,jie tang,hong cheng,
0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1.69315,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3979,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60944,0,3.07944,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,3.30259,0,0,2.38629,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63759,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,2.38629,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,3.19722,0,0,
0,0,0,2.60944,3.56495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60944,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.19722,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07944,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.09861,0,0,0,0,0,1,0,0,3.07944,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.09861,0,0,0,0,0,0,1,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2.79176,0,0,0,0,2.38629,0,0,0,2.38629,2.94591,0,0,0,2.79176,0,0,0,0,3.3979,0,0,0,0,4.63759,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60944,0,3.3979,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
0,0,0,3.19722,3.19722,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19722,0,0,0,0,0,0,0,0,0,0,2.60944,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,3.48491,3.83321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.19722,0,1,0,0,3.07944,0,0,0,0,3.3979,0,0,0,0,0,
0,0,2.79176,0,3.48491,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60944,0,0,0,1,0,
2.79176,0,0,0,3.83321,0,1.69315,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,3.3979,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,3.63906,0,0,2.79176,0,1,0,0,2.38629,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,2.09861,0,2.79176,0,0,0,0,0,0,0,2.94591,0,0,0,0,0,0,
3.48491,0,3.83321,0,0,2.60944,2.38629,2.60944,1,0,2.94591,2.94591,1,0,1.69315,1.69315,1,0,0,0,0,5.02535,2.38629,4.21888,1.69315,1,2.94591,2.60944,0,4.68888,2.09861,3.63906,0,0,0,3.48491,2.79176,3.19722,0,3.77259,2.09861,0,0,2.38629,0,2.38629,2.09861,0,0,0,
0,0,0,3.63906,2.60944,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.09861,0,1.69315,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09861,0,0,0,0,2.79176,0,0,0,0,1,0,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2.60944,0,0,0,0,0,1.69315,0,0,0,0,0,0,0,0,0,0,2.94591,0,0,0,0,0,0,0,2.60944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,2.79176,2.79176,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,2.94591,0,0,1.69315,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94591,0,0,0,0,0,2.60944,0,2.38629,0,0,0,0,0,1,0,3.07944,0,2.94591,0,0,0,0,1,2.09861,0,0,1,0,
0,0,0,0,2.94591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60944,0,0,2.60944,0,0,0,2.94591,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.70805,0,0,0,0,0,0,0,0,0,1.69315,0,0,2.60944,0,0,0,0,0,0,2.60944,0,0,1,0,0,0,0,0,0,0,
0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,3.63906,0,0,0,2.38629,0,0,0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.19722,2.60944,0,
0,0,0,0,1.69315,0,0,0,0,0,0,0,0,3.63906,0,0,1,0,0,0,3.48491,1,0,0,0,0,0,3.30259,0,3.48491,0,0,0,0,0,0,0,0,2.38629,3.94444,0,2.94591,1,0,2.38629,0,0,0,2.38629,0,
0,0,0,0,1.69315,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.30259,0,0,0,0,0,0,0,0,0,2.09861,0,0,2.60944,0,0,0,0,0,0,2.38629,0,0,1,0,0,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3.63906,0,0,0,0,0,0,0,0,0,1.69315,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09104,0,0,0,2.60944,0,0,0,0,0,0,0,0,3.30259,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.60944,0,0,0,0,0,0,0,0,0,3.83321,0,
0,0,0,0,0,0,0,0,0,0,0,0,3.70805,0,0,3.30259,3.63906,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.70805,0,0,1.69315,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69315,0,0,4.58352,0,0,0,0,0,0,0,0,
0,0,3.3979,2.79176,5.02535,0,2.09861,2.94591,2.79176,0,2.94591,0,0,0,1,0,0,0,1,0,0,0,3.63906,0,0,0,2.79176,1,0,0,0,3.19722,0,0,0,0,0,1,0,1,0,0,0,0,0,2.60944,0,0,3.07944,0,
0,0,0,0,2.38629,0,0,0,0,0,0,2.60944,0,0,0,0,0,0,0,0,0,3.63906,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.89037,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,4.21888,0,0,0,0,0,0,0,0,0,0,0,0,4.09104,0,0,0,0,0,0,1.69315,0,2.38629,0,2.38629,0,3.07944,0,0,0,0,0,0,0,2.79176,3.48491,2.38629,0,0,0,2.79176,0,2.09861,0,0,0,
0,0,0,0,1.69315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69315,0,0,0,0,0,0,1.69315,0,0,0,0,0,0,0,0,1,1.69315,0,0,0,0,0,2.09861,0,0,0,
0,0,0,0,1,0,0,0,0,0,0,2.60944,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,2.94591,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79176,0,2.38629,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.94591,0,0,0,0,
0,0,0,0,2.60944,0,0,0,0,0,2.60944,0,0,0,3.30259,0,0,2.60944,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69315,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,4.68888,0,0,2.60944,0,0,2.38629,2.94591,1.69315,0,3.48491,2.09861,1.69315,0,0,1,0,0,1,0,0,2.38629,0,0,0,0,0,1.69315,0,0,0,0,1,0,0,3.3979,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07944,1.69315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69315,2.38629,0,0,0,0,0,2.09861,0,0,0,
0,0,2.79176,0,3.63906,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.19722,1,0,0,0,1,0,0,1.69315,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,2.60944,0,0,2.60944,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70805,0,0,1.69315,0,0,0,0,0,0,0,
0,0,0,2.09861,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60944,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,2.79176,3.48491,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.79176,2.79176,0,0,0,0,
0,0,0,0,2.79176,0,0,0,2.79176,0,0,0,0,1,0,0,0,3.30259,1,0,0,0,3.89037,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,3.19722,0,2.38629,0,0,0,3.07944,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,0,0,1,2.60944,0,1.69315,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04452,0,0,0,0,0,0,0,0,
0,0,0,0,3.77259,0,0,0,0,0,2.94591,0,2.60944,0,3.94444,2.38629,1,0,0,3.70805,0,1,0,3.48491,1,0,0,1.69315,0,3.3979,1.69315,0,3.70805,0,0,0,0,0,0,0,1.69315,0,3.07944,0,2.60944,2.38629,1.69315,0,0,0,
0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,1.69315,0,0,0,0,0,2.38629,0,0,0,0,0,0,0,0,1.69315,0,0,0,0,0,0,2.09861,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94591,0,0,0,0,0,4.58352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04452,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1.69315,0,0,0,0,0,0,0,0,0,0,0,0,1.69315,0,0,0,0,0,0,3.07944,0,0,0,0,0,1,0,0,0,0,
0,0,0,2.94591,2.38629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,
0,2.60944,0,0,0,0,0,0,0,0,1,0,0,0,2.38629,0,0,0,0,0,0,0,0,2.79176,0,0,0,0,0,0,0,0,0,0,0,2.79176,0,0,0,2.60944,0,0,0,0,0,0,0,0,0,2.38629,
0,0,0,0,2.38629,0,0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,2.60944,0,0,0,0,2.94591,0,0,0,0,0,0,0,0,2.79176,0,0,0,2.38629,0,0,1,0,0,0,0,0,0,0,
0,0,0,0,2.09861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09861,2.09861,0,0,0,0,0,2.09861,0,0,0,0,0,0,0,0,1.69315,2.09861,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,3.19722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,1,0,0,2.60944,2.38629,0,0,0,3.83321,0,0,3.07944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38629,2.38629,0,0,0,1,0,
